dataset,run_idx,best_energy,final_energy,energy_gap_to_optimum,hit_optimum,acceptance_rate,early_acceptance_rate,late_acceptance_rate
good,0,-58.0,-58.0,0.0,True,0.044444444444444446,0.05,0.005555555555555556
good,1,-58.0,-58.0,0.0,True,0.03611111111111111,0.08333333333333333,0.002777777777777778
good,2,-56.0,-52.0,2.0,False,0.035,0.10833333333333334,0.0
good,3,-58.0,-58.0,0.0,True,0.04555555555555556,0.08055555555555556,0.005555555555555556
good,4,-50.0,-50.0,8.0,False,0.055,0.1111111111111111,0.005555555555555556
good,5,-56.0,-52.0,2.0,False,0.02666666666666667,0.08055555555555556,0.0
good,6,-56.0,-56.0,2.0,False,0.035,0.07777777777777778,0.0
good,7,-56.0,-50.0,2.0,False,0.045,0.08888888888888889,0.013888888888888888
good,8,-56.0,-56.0,2.0,False,0.01888888888888889,0.030555555555555555,0.005555555555555556
good,9,-58.0,-56.0,0.0,True,0.03833333333333333,0.05555555555555555,0.0
good,10,-58.0,-58.0,0.0,True,0.051666666666666666,0.11666666666666667,0.0
good,11,-58.0,-56.0,0.0,True,0.028333333333333332,0.06388888888888888,0.008333333333333333
good,12,-58.0,-56.0,0.0,True,0.049444444444444444,0.11666666666666667,0.0
good,13,-58.0,-50.0,0.0,True,0.03333333333333333,0.03611111111111111,0.0
good,14,-56.0,-56.0,2.0,False,0.03333333333333333,0.05555555555555555,0.011111111111111112
good,15,-58.0,-58.0,0.0,True,0.04555555555555556,0.08611111111111111,0.016666666666666666
good,16,-58.0,-58.0,0.0,True,0.051111111111111114,0.08333333333333333,0.0
good,17,-56.0,-56.0,2.0,False,0.03722222222222222,0.09166666666666666,0.0
good,18,-58.0,-56.0,0.0,True,0.041666666666666664,0.10277777777777777,0.002777777777777778
good,19,-50.0,-50.0,8.0,False,0.04888888888888889,0.09722222222222222,0.0
good,20,-58.0,-58.0,0.0,True,0.03222222222222222,0.07777777777777778,0.005555555555555556
good,21,-56.0,-56.0,2.0,False,0.045,0.12777777777777777,0.013888888888888888
good,22,-50.0,-50.0,8.0,False,0.05,0.11388888888888889,0.0
good,23,-58.0,-54.0,0.0,True,0.04888888888888889,0.08055555555555556,0.025
good,24,-58.0,-58.0,0.0,True,0.04388888888888889,0.08611111111111111,0.022222222222222223
good,25,-58.0,-58.0,0.0,True,0.052222222222222225,0.09444444444444444,0.005555555555555556
good,26,-58.0,-58.0,0.0,True,0.04,0.041666666666666664,0.019444444444444445
good,27,-58.0,-52.0,0.0,True,0.05,0.09722222222222222,0.0
good,28,-56.0,-56.0,2.0,False,0.025,0.03333333333333333,0.0
good,29,-58.0,-56.0,0.0,True,0.035555555555555556,0.03611111111111111,0.0
good,30,-58.0,-42.0,0.0,True,0.04888888888888889,0.07777777777777778,0.002777777777777778
good,31,-58.0,-58.0,0.0,True,0.035555555555555556,0.04722222222222222,0.0
good,32,-56.0,-56.0,2.0,False,0.03111111111111111,0.07222222222222222,0.011111111111111112
good,33,-58.0,-56.0,0.0,True,0.04055555555555555,0.09166666666666666,0.0
good,34,-58.0,-58.0,0.0,True,0.04777777777777778,0.10833333333333334,0.002777777777777778
good,35,-56.0,-56.0,2.0,False,0.021111111111111112,0.05277777777777778,0.0
good,36,-58.0,-56.0,0.0,True,0.045,0.08888888888888889,0.005555555555555556
good,37,-56.0,-56.0,2.0,False,0.035,0.075,0.008333333333333333
good,38,-56.0,-56.0,2.0,False,0.035555555555555556,0.1,0.011111111111111112
good,39,-50.0,-42.0,8.0,False,0.049444444444444444,0.1,0.0
bad,0,-58.0,-58.0,0.0,True,0.025,0.05555555555555555,0.025
bad,1,-56.0,-56.0,2.0,False,0.028888888888888888,0.10277777777777777,0.008333333333333333
bad,2,-50.0,-50.0,8.0,False,0.03222222222222222,0.09444444444444444,0.022222222222222223
bad,3,-58.0,-58.0,0.0,True,0.027777777777777776,0.041666666666666664,0.005555555555555556
bad,4,-58.0,-56.0,0.0,True,0.023333333333333334,0.06388888888888888,0.022222222222222223
bad,5,-58.0,-58.0,0.0,True,0.02277777777777778,0.041666666666666664,0.0
bad,6,-56.0,-42.0,2.0,False,0.034444444444444444,0.07222222222222222,0.019444444444444445
bad,7,-56.0,-56.0,2.0,False,0.023333333333333334,0.07777777777777778,0.005555555555555556
bad,8,-58.0,-56.0,0.0,True,0.03166666666666667,0.044444444444444446,0.0
bad,9,-58.0,-42.0,0.0,True,0.03944444444444444,0.07777777777777778,0.025
bad,10,-58.0,-56.0,0.0,True,0.025,0.08888888888888889,0.011111111111111112
bad,11,-58.0,-56.0,0.0,True,0.029444444444444443,0.06111111111111111,0.0
bad,12,-58.0,-42.0,0.0,True,0.03166666666666667,0.06666666666666667,0.016666666666666666
bad,13,-56.0,-56.0,2.0,False,0.025555555555555557,0.06944444444444445,0.005555555555555556
bad,14,-58.0,-56.0,0.0,True,0.026111111111111113,0.044444444444444446,0.0
bad,15,-50.0,-50.0,8.0,False,0.026111111111111113,0.058333333333333334,0.005555555555555556
bad,16,-56.0,-56.0,2.0,False,0.017777777777777778,0.06944444444444445,0.005555555555555556
bad,17,-56.0,-56.0,2.0,False,0.013888888888888888,0.06111111111111111,0.002777777777777778
bad,18,-50.0,-42.0,8.0,False,0.026111111111111113,0.075,0.005555555555555556
bad,19,-56.0,-56.0,2.0,False,0.017777777777777778,0.05277777777777778,0.005555555555555556
