dataset,run_idx,best_energy,final_energy,energy_gap_to_optimum,hit_optimum,acceptance_rate,early_acceptance_rate,late_acceptance_rate
good,0,-46.0,-46.0,12.0,False,0.12,0.3416666666666667,0.0
good,1,-46.0,-46.0,12.0,False,0.1,0.13333333333333333,0.058333333333333334
good,2,-46.0,-46.0,12.0,False,0.13333333333333333,0.4083333333333333,0.0
good,3,-54.0,-54.0,4.0,False,0.23333333333333334,0.4083333333333333,0.11666666666666667
good,4,-52.0,-52.0,6.0,False,0.08666666666666667,0.14166666666666666,0.06666666666666667
good,5,-54.0,-54.0,4.0,False,0.125,0.16666666666666666,0.041666666666666664
good,6,-58.0,-58.0,0.0,True,0.10666666666666667,0.225,0.09166666666666666
good,7,-46.0,-46.0,12.0,False,0.12833333333333333,0.13333333333333333,0.08333333333333333
good,8,-58.0,-58.0,0.0,True,0.10166666666666667,0.15,0.15
good,9,-50.0,-50.0,8.0,False,0.165,0.2,0.16666666666666666
good,10,-46.0,-44.0,12.0,False,0.215,0.19166666666666668,0.2916666666666667
good,11,-58.0,-58.0,0.0,True,0.10666666666666667,0.2,0.175
good,12,-50.0,-50.0,8.0,False,0.09,0.13333333333333333,0.13333333333333333
good,13,-58.0,-58.0,0.0,True,0.08666666666666667,0.15,0.11666666666666667
good,14,-56.0,-56.0,2.0,False,0.085,0.13333333333333333,0.19166666666666668
good,15,-56.0,-56.0,2.0,False,0.105,0.1,0.275
good,16,-56.0,-56.0,2.0,False,0.12,0.25833333333333336,0.2
good,17,-56.0,-56.0,2.0,False,0.115,0.15,0.15833333333333333
good,18,-50.0,-50.0,8.0,False,0.13333333333333333,0.21666666666666667,0.05
good,19,-54.0,-54.0,4.0,False,0.11833333333333333,0.2,0.06666666666666667
good,20,-58.0,-58.0,0.0,True,0.11666666666666667,0.13333333333333333,0.008333333333333333
good,21,-50.0,-50.0,8.0,False,0.10333333333333333,0.25833333333333336,0.08333333333333333
good,22,-52.0,-52.0,6.0,False,0.085,0.275,0.0
good,23,-50.0,-50.0,8.0,False,0.11333333333333333,0.10833333333333334,0.008333333333333333
good,24,-50.0,-50.0,8.0,False,0.14,0.23333333333333334,0.025
good,25,-54.0,-54.0,4.0,False,0.11666666666666667,0.11666666666666667,0.06666666666666667
good,26,-50.0,-50.0,8.0,False,0.07666666666666666,0.15833333333333333,0.041666666666666664
good,27,-50.0,-50.0,8.0,False,0.07333333333333333,0.2,0.08333333333333333
good,28,-58.0,-58.0,0.0,True,0.06666666666666667,0.15833333333333333,0.075
good,29,-42.0,-42.0,16.0,False,0.175,0.325,0.0
good,30,-50.0,-50.0,8.0,False,0.16166666666666665,0.2,0.075
good,31,-50.0,-50.0,8.0,False,0.125,0.21666666666666667,0.058333333333333334
good,32,-56.0,-56.0,2.0,False,0.045,0.14166666666666666,0.025
good,33,-46.0,-46.0,12.0,False,0.15333333333333332,0.25833333333333336,0.016666666666666666
good,34,-52.0,-52.0,6.0,False,0.175,0.4,0.0
good,35,-42.0,-42.0,16.0,False,0.16,0.5583333333333333,0.016666666666666666
good,36,-42.0,-42.0,16.0,False,0.18666666666666668,0.5916666666666667,0.0
good,37,-42.0,-42.0,16.0,False,0.12666666666666668,0.425,0.0
good,38,-42.0,-42.0,16.0,False,0.12333333333333334,0.30833333333333335,0.0
good,39,-42.0,-42.0,16.0,False,0.09333333333333334,0.26666666666666666,0.0
bad,0,-50.0,-50.0,8.0,False,0.12833333333333333,0.49166666666666664,0.041666666666666664
bad,1,-50.0,-50.0,8.0,False,0.13833333333333334,0.49166666666666664,0.0
bad,2,-46.0,-46.0,12.0,False,0.09333333333333334,0.35,0.0
bad,3,-50.0,-50.0,8.0,False,0.11333333333333333,0.36666666666666664,0.008333333333333333
bad,4,-50.0,-50.0,8.0,False,0.08,0.26666666666666666,0.025
bad,5,-46.0,-46.0,12.0,False,0.06833333333333333,0.19166666666666668,0.016666666666666666
bad,6,-46.0,-46.0,12.0,False,0.051666666666666666,0.15,0.025
bad,7,-46.0,-46.0,12.0,False,0.05333333333333334,0.15,0.025
bad,8,-50.0,-50.0,8.0,False,0.16333333333333333,0.3333333333333333,0.041666666666666664
bad,9,-50.0,-50.0,8.0,False,0.051666666666666666,0.15833333333333333,0.025
bad,10,-48.0,-48.0,10.0,False,0.02666666666666667,0.13333333333333333,0.0
bad,11,-50.0,-50.0,8.0,False,0.095,0.4083333333333333,0.0
bad,12,-50.0,-50.0,8.0,False,0.06833333333333333,0.24166666666666667,0.008333333333333333
bad,13,-50.0,-50.0,8.0,False,0.13166666666666665,0.2833333333333333,0.15
bad,14,-46.0,-46.0,12.0,False,0.043333333333333335,0.14166666666666666,0.008333333333333333
bad,15,-48.0,-48.0,10.0,False,0.03166666666666667,0.15,0.0
bad,16,-52.0,-52.0,6.0,False,0.013333333333333334,0.058333333333333334,0.0
bad,17,-48.0,-48.0,10.0,False,0.045,0.14166666666666666,0.08333333333333333
bad,18,-50.0,-50.0,8.0,False,0.145,0.19166666666666668,0.175
bad,19,-58.0,-58.0,0.0,True,0.07333333333333333,0.16666666666666666,0.14166666666666666
bad,20,-50.0,-50.0,8.0,False,0.06333333333333334,0.11666666666666667,0.15
bad,21,-42.0,-42.0,16.0,False,0.12,0.25,0.10833333333333334
bad,22,-44.0,-44.0,14.0,False,0.15166666666666667,0.15833333333333333,0.5
bad,23,-44.0,-44.0,14.0,False,0.12333333333333334,0.11666666666666667,0.4083333333333333
bad,24,-52.0,-52.0,6.0,False,0.016666666666666666,0.075,0.0
bad,25,-56.0,-56.0,2.0,False,0.035,0.075,0.08333333333333333
bad,26,-42.0,-42.0,16.0,False,0.10333333333333333,0.15833333333333333,0.14166666666666666
bad,27,-40.0,-38.0,18.0,False,0.035,0.14166666666666666,0.0
bad,28,-58.0,-58.0,0.0,True,0.07333333333333333,0.05,0.041666666666666664
bad,29,-48.0,-48.0,10.0,False,0.13166666666666665,0.19166666666666668,0.0
bad,30,-50.0,-50.0,8.0,False,0.22333333333333333,0.125,0.09166666666666666
bad,31,-56.0,-56.0,2.0,False,0.05,0.09166666666666666,0.058333333333333334
bad,32,-44.0,-44.0,14.0,False,0.11166666666666666,0.13333333333333333,0.0
bad,33,-42.0,-42.0,16.0,False,0.09,0.125,0.08333333333333333
bad,34,-50.0,-50.0,8.0,False,0.14833333333333334,0.225,0.08333333333333333
bad,35,-50.0,-50.0,8.0,False,0.15833333333333333,0.19166666666666668,0.15833333333333333
bad,36,-50.0,-50.0,8.0,False,0.25333333333333335,0.36666666666666664,0.125
bad,37,-50.0,-50.0,8.0,False,0.155,0.175,0.05
bad,38,-50.0,-50.0,8.0,False,0.25833333333333336,0.35833333333333334,0.13333333333333333
bad,39,-50.0,-50.0,8.0,False,0.19833333333333333,0.25,0.016666666666666666
