n_assets,choose_k,run_idx,best_objective,reference_objective,gap_to_reference,selected_count,feasible_cardinality,expected_return,portfolio_variance,acceptance_rate
8,3,0,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.057666666666666665
8,3,1,-0.5018016000000038,-0.5059296000000053,0.004128000000001464,3,True,0.48,0.45274800000000004,0.060066666666666664
8,3,2,-0.5022143999999997,-0.5059296000000053,0.0037152000000055807,3,True,0.45999999999999996,0.40723200000000004,0.058977777777777775
8,3,3,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.0568
8,3,4,-0.4921024000000003,-0.5059296000000053,0.013827200000005035,3,True,0.41000000000000003,0.3073720000000001,0.0578
8,3,5,-0.5022143999999997,-0.5059296000000053,0.0037152000000055807,3,True,0.45999999999999996,0.40723200000000004,0.06331111111111111
8,3,6,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.060066666666666664
8,3,7,-0.4921024000000003,-0.5059296000000053,0.013827200000005035,3,True,0.41000000000000003,0.3073720000000001,0.059977777777777776
8,3,8,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.057866666666666663
8,3,9,-0.5018016000000038,-0.5059296000000053,0.004128000000001464,3,True,0.48,0.45274800000000004,0.06015555555555555
8,3,10,-0.5022143999999997,-0.5059296000000053,0.0037152000000055807,3,True,0.45999999999999996,0.40723200000000004,0.059133333333333336
8,3,11,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.0568
8,3,12,-0.4921024000000003,-0.5059296000000053,0.013827200000005035,3,True,0.41000000000000003,0.3073720000000001,0.05775555555555555
8,3,13,-0.5022143999999997,-0.5059296000000053,0.0037152000000055807,3,True,0.45999999999999996,0.40723200000000004,0.06344444444444444
8,3,14,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.05993333333333333
8,3,15,-0.4921024000000003,-0.5059296000000053,0.013827200000005035,3,True,0.41000000000000003,0.3073720000000001,0.06002222222222222
8,3,16,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.05775555555555555
8,3,17,-0.5022143999999997,-0.5059296000000053,0.0037152000000055807,3,True,0.45999999999999996,0.40723200000000004,0.0634
8,3,18,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.06002222222222222
8,3,19,-0.4921024000000003,-0.5059296000000053,0.013827200000005035,3,True,0.41000000000000003,0.3073720000000001,0.060088888888888886
8,3,20,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.057866666666666663
8,3,21,-0.5018016000000038,-0.5059296000000053,0.004128000000001464,3,True,0.48,0.45274800000000004,0.059955555555555554
8,3,22,-0.5022143999999997,-0.5059296000000053,0.0037152000000055807,3,True,0.45999999999999996,0.40723200000000004,0.058977777777777775
8,3,23,-0.5059296000000053,-0.5059296000000053,0.0,3,True,0.43000000000000005,0.33508800000000005,0.056822222222222225
12,3,0,-0.8135259761370683,-0.9063426589483612,0.09281668281129285,3,True,0.5557761511631304,0.23358886994570127,0.08206666666666666
12,3,1,-0.8356634841117305,-0.9063426589483612,0.07067917483663066,3,True,0.5106373513049325,0.10435468529642941,0.08448888888888889
12,3,2,-0.9063426589483612,-0.9063426589483612,0.0,3,True,0.5579877330866463,0.12254407575949959,0.07777777777777778
12,3,3,-0.8917171473615397,-0.9063426589483612,0.01462551158682146,3,True,0.5549893044092116,0.13407950071880442,0.0812
12,3,4,-0.8440712697852959,-0.9063426589483612,0.062271389163065294,3,True,0.5527777224856957,0.1886607883611914,0.0812
12,3,5,-0.8367799273462069,-0.9063426589483612,0.06956273160215432,3,True,0.48933761168197626,0.05503471710168724,0.08442222222222222
12,3,6,-0.8440712697852959,-0.9063426589483612,0.062271389163065294,3,True,0.5527777224856957,0.1886607883611914,0.08222222222222222
12,3,7,-0.8917171473615397,-0.9063426589483612,0.01462551158682146,3,True,0.5549893044092116,0.13407950071880442,0.07902222222222222
12,3,8,-0.7777344155411896,-0.9063426589483612,0.12860824340717159,3,True,0.5414099090057383,0.2460042758364255,0.08348888888888889
12,3,9,-0.8367799273462069,-0.9063426589483612,0.06956273160215432,3,True,0.48933761168197626,0.05503471710168724,0.0835111111111111
12,3,10,-0.7777344155411896,-0.9063426589483612,0.12860824340717159,3,True,0.5414099090057383,0.2460042758364255,0.08348888888888889
12,3,11,-0.9016197150867846,-0.9063426589483612,0.004722943861576567,3,True,0.5485043692085074,0.10711018686065799,0.08224444444444444
12,3,12,-0.8135259761370683,-0.9063426589483612,0.09281668281129285,3,True,0.5557761511631304,0.23358886994570127,0.08213333333333334
12,3,13,-0.8356634841117305,-0.9063426589483612,0.07067917483663066,3,True,0.5106373513049325,0.10435468529642941,0.08455555555555555
12,3,14,-0.9063426589483612,-0.9063426589483612,0.0,3,True,0.5579877330866463,0.12254407575949959,0.0778
12,3,15,-0.8917171473615397,-0.9063426589483612,0.01462551158682146,3,True,0.5549893044092116,0.13407950071880442,0.08131111111111111
12,3,16,-0.8440712697852959,-0.9063426589483612,0.062271389163065294,3,True,0.5527777224856957,0.1886607883611914,0.0811111111111111
12,3,17,-0.8367799273462069,-0.9063426589483612,0.06956273160215432,3,True,0.48933761168197626,0.05503471710168724,0.08446666666666666
12,3,18,-0.8440712697852959,-0.9063426589483612,0.062271389163065294,3,True,0.5527777224856957,0.1886607883611914,0.08228888888888888
12,3,19,-0.8917171473615397,-0.9063426589483612,0.01462551158682146,3,True,0.5549893044092116,0.13407950071880442,0.07895555555555556
12,3,20,-0.7796169009868663,-0.9063426589483612,0.12672575796149488,3,True,0.4859076748971502,0.11877114228500181,0.08333333333333333
12,3,21,-0.9016197150867846,-0.9063426589483612,0.004722943861576567,3,True,0.5485043692085074,0.10711018686065799,0.08335555555555556
12,3,22,-0.7157283229891078,-0.9063426589483612,0.19061433595925337,3,True,0.43476338675692827,0.0835572164667015,0.08337777777777777
12,3,23,-0.9016197150867846,-0.9063426589483612,0.004722943861576567,3,True,0.5485043692085074,0.10711018686065799,0.08222222222222222
16,4,0,-0.7783873624776518,-0.9825130170201177,0.2041256545424659,4,True,0.4815512818649902,0.11050618109916094,0.08866666666666667
16,4,1,-0.8454824833589498,-0.9825130170201177,0.1370305336611679,4,True,0.5430764402228159,0.16506888630265798,0.0878
16,4,2,-0.9578765969439473,-0.9825130170201177,0.024636420076170396,4,True,0.5968895546831732,0.14565575185719812,0.089
16,4,3,-0.7806032720656759,-0.9825130170201177,0.2019097449544418,4,True,0.513070209192009,0.1786538805999184,0.08911111111111111
16,4,4,-0.8733770358065556,-0.9825130170201177,0.10913598121356216,4,True,0.553533335009029,0.15372870901211755,0.08895555555555555
16,4,5,-0.9466534688147235,-0.9825130170201177,0.035859548205394276,4,True,0.5713131344971636,0.1021377166002199,0.08906666666666667
16,4,6,-0.9302954720465451,-0.9825130170201177,0.05221754497357267,4,True,0.557499490578724,0.09150451374395335,0.089
16,4,7,-0.8843128509870226,-0.9825130170201177,0.09820016603309512,4,True,0.5337234435199275,0.09548668418606242,0.08904444444444444
16,4,8,-0.7783873624776518,-0.9825130170201177,0.2041256545424659,4,True,0.4815512818649902,0.11050618109916094,0.08911111111111111
16,4,9,-0.8454824833589498,-0.9825130170201177,0.1370305336611679,4,True,0.5430764402228159,0.16506888630265798,0.08797777777777778
16,4,10,-0.9578765969439473,-0.9825130170201177,0.024636420076170396,4,True,0.5968895546831732,0.14565575185719812,0.08915555555555556
16,4,11,-0.7806032720656759,-0.9825130170201177,0.2019097449544418,4,True,0.513070209192009,0.1786538805999184,0.08893333333333334
