dataset,run_idx,best_energy,final_energy,energy_gap_to_optimum,hit_optimum,acceptance_rate,early_acceptance_rate,late_acceptance_rate
good,0,-58.0,-58.0,0.0,True,0.019444444444444445,0.041666666666666664,0.006944444444444444
good,1,-56.0,-56.0,2.0,False,0.011111111111111112,0.04861111111111111,0.0
good,2,-50.0,-50.0,8.0,False,0.020833333333333332,0.0625,0.0
good,3,-50.0,-50.0,8.0,False,0.018055555555555554,0.08333333333333333,0.006944444444444444
good,4,-38.0,-38.0,20.0,False,0.0125,0.04861111111111111,0.006944444444444444
good,5,-42.0,-42.0,16.0,False,0.022222222222222223,0.04861111111111111,0.041666666666666664
good,6,-42.0,-42.0,16.0,False,0.022222222222222223,0.09027777777777778,0.013888888888888888
good,7,-56.0,-56.0,2.0,False,0.016666666666666666,0.04861111111111111,0.020833333333333332
good,8,-52.0,-52.0,6.0,False,0.02638888888888889,0.027777777777777776,0.020833333333333332
good,9,-50.0,-50.0,8.0,False,0.013888888888888888,0.013888888888888888,0.006944444444444444
good,10,-56.0,-52.0,2.0,False,0.018055555555555554,0.020833333333333332,0.013888888888888888
good,11,-58.0,-58.0,0.0,True,0.025,0.020833333333333332,0.006944444444444444
good,12,-42.0,-42.0,16.0,False,0.022222222222222223,0.006944444444444444,0.013888888888888888
good,13,-32.0,-28.0,26.0,False,0.019444444444444445,0.020833333333333332,0.0
good,14,-44.0,-44.0,14.0,False,0.016666666666666666,0.020833333333333332,0.0
good,15,-48.0,-46.0,10.0,False,0.0125,0.013888888888888888,0.006944444444444444
good,16,-44.0,-44.0,14.0,False,0.022222222222222223,0.020833333333333332,0.0
good,17,-50.0,-50.0,8.0,False,0.02638888888888889,0.034722222222222224,0.006944444444444444
good,18,-48.0,-46.0,10.0,False,0.020833333333333332,0.041666666666666664,0.0
good,19,-58.0,-54.0,0.0,True,0.0125,0.041666666666666664,0.0
good,20,-52.0,-52.0,6.0,False,0.011111111111111112,0.05555555555555555,0.0
good,21,-58.0,-58.0,0.0,True,0.022222222222222223,0.08333333333333333,0.006944444444444444
good,22,-38.0,-38.0,20.0,False,0.0125,0.034722222222222224,0.013888888888888888
good,23,-48.0,-48.0,10.0,False,0.020833333333333332,0.09027777777777778,0.013888888888888888
good,24,-50.0,-50.0,8.0,False,0.018055555555555554,0.0763888888888889,0.013888888888888888
good,25,-46.0,-46.0,12.0,False,0.025,0.08333333333333333,0.034722222222222224
good,26,-50.0,-50.0,8.0,False,0.011111111111111112,0.041666666666666664,0.0
good,27,-52.0,-46.0,6.0,False,0.019444444444444445,0.027777777777777776,0.013888888888888888
good,28,-42.0,-42.0,16.0,False,0.020833333333333332,0.006944444444444444,0.05555555555555555
good,29,-58.0,-58.0,0.0,True,0.025,0.013888888888888888,0.013888888888888888
good,30,-42.0,-42.0,16.0,False,0.019444444444444445,0.013888888888888888,0.013888888888888888
good,31,-32.0,-28.0,26.0,False,0.019444444444444445,0.013888888888888888,0.006944444444444444
good,32,-46.0,-46.0,12.0,False,0.02638888888888889,0.020833333333333332,0.0
good,33,-58.0,-58.0,0.0,True,0.030555555555555555,0.027777777777777776,0.0
good,34,-44.0,-44.0,14.0,False,0.022222222222222223,0.013888888888888888,0.0
good,35,-50.0,-50.0,8.0,False,0.022222222222222223,0.006944444444444444,0.0
good,36,-48.0,-46.0,10.0,False,0.020833333333333332,0.034722222222222224,0.0
good,37,-50.0,-50.0,8.0,False,0.009722222222222222,0.04861111111111111,0.0
good,38,-52.0,-52.0,6.0,False,0.011111111111111112,0.05555555555555555,0.0
good,39,-58.0,-56.0,0.0,True,0.018055555555555554,0.06944444444444445,0.0
bad,0,-56.0,-56.0,2.0,False,0.012037037037037037,0.05092592592592592,0.0
bad,1,-58.0,-58.0,0.0,True,0.024074074074074074,0.05555555555555555,0.013888888888888888
bad,2,-56.0,-56.0,2.0,False,0.018518518518518517,0.041666666666666664,0.009259259259259259
bad,3,-52.0,-52.0,6.0,False,0.03425925925925926,0.037037037037037035,0.06018518518518518
bad,4,-58.0,-58.0,0.0,True,0.021296296296296296,0.07407407407407407,0.004629629629629629
bad,5,-58.0,-58.0,0.0,True,0.025,0.07407407407407407,0.027777777777777776
bad,6,-58.0,-58.0,0.0,True,0.026851851851851852,0.06481481481481481,0.027777777777777776
bad,7,-50.0,-50.0,8.0,False,0.02962962962962963,0.12037037037037036,0.009259259259259259
bad,8,-58.0,-54.0,0.0,True,0.032407407407407406,0.05555555555555555,0.032407407407407406
bad,9,-52.0,-50.0,6.0,False,0.018518518518518517,0.0787037037037037,0.004629629629629629
bad,10,-58.0,-58.0,0.0,True,0.024074074074074074,0.06481481481481481,0.032407407407407406
bad,11,-58.0,-58.0,0.0,True,0.03518518518518519,0.06481481481481481,0.07407407407407407
bad,12,-58.0,-58.0,0.0,True,0.020370370370370372,0.041666666666666664,0.0
bad,13,-58.0,-58.0,0.0,True,0.020370370370370372,0.023148148148148147,0.009259259259259259
bad,14,-56.0,-56.0,2.0,False,0.012037037037037037,0.018518518518518517,0.004629629629629629
bad,15,-56.0,-56.0,2.0,False,0.017592592592592594,0.018518518518518517,0.004629629629629629
bad,16,-56.0,-56.0,2.0,False,0.011111111111111112,0.013888888888888888,0.0
bad,17,-56.0,-56.0,2.0,False,0.026851851851851852,0.05555555555555555,0.0
bad,18,-58.0,-54.0,0.0,True,0.023148148148148147,0.05092592592592592,0.013888888888888888
bad,19,-50.0,-44.0,8.0,False,0.024074074074074074,0.05555555555555555,0.004629629629629629
bad,20,-50.0,-50.0,8.0,False,0.020370370370370372,0.037037037037037035,0.013888888888888888
