dataset,axis_source,bin_idx,bin_left,bin_right,state,occupancy,present,local_ai_mean
good,time_window_proxy,0,0.123376078903675,25.199924618005742,0,0.018,0,-0.08177841661704911
good,time_window_proxy,0,0.123376078903675,25.199924618005742,1,0.006,0,-0.06847088163097699
good,time_window_proxy,0,0.123376078903675,25.199924618005742,2,0.077,1,-0.06327849544294468
good,time_window_proxy,0,0.123376078903675,25.199924618005742,3,0.099,1,-0.058503771520624255
good,time_window_proxy,1,25.199924618005742,50.27647315710781,0,0.018,0,-0.07526367157697675
good,time_window_proxy,1,25.199924618005742,50.27647315710781,1,0.014,0,-0.07158677226730757
good,time_window_proxy,1,25.199924618005742,50.27647315710781,2,0.15,1,-0.06428709775209426
good,time_window_proxy,1,25.199924618005742,50.27647315710781,3,0.018,0,-0.06096458145313793
good,time_window_proxy,2,50.27647315710781,75.35302169620988,0,0.019,0,-0.08114916988109287
good,time_window_proxy,2,50.27647315710781,75.35302169620988,1,0.024,1,-0.06926462519913912
good,time_window_proxy,2,50.27647315710781,75.35302169620988,2,0.157,1,-0.06511596231988281
good,time_window_proxy,2,50.27647315710781,75.35302169620988,3,0.0,0,
good,time_window_proxy,3,75.35302169620988,100.42957023531194,0,0.011,0,-0.08075838806954298
good,time_window_proxy,3,75.35302169620988,100.42957023531194,1,0.108,1,-0.07039750188037201
good,time_window_proxy,3,75.35302169620988,100.42957023531194,2,0.081,1,-0.06528941965029564
good,time_window_proxy,3,75.35302169620988,100.42957023531194,3,0.0,0,
good,time_window_proxy,4,100.42957023531194,125.506118774414,0,0.0,0,
good,time_window_proxy,4,100.42957023531194,125.506118774414,1,0.2,1,-0.07065903522074223
good,time_window_proxy,4,100.42957023531194,125.506118774414,2,0.0,0,
good,time_window_proxy,4,100.42957023531194,125.506118774414,3,0.0,0,
bad,time_window_proxy,0,0.12337,102.91469599999999,0,0.04150390625,1,-0.08304741176470588
bad,time_window_proxy,0,0.12337,102.91469599999999,1,0.06396484375,1,-0.06542736641221374
bad,time_window_proxy,0,0.12337,102.91469599999999,2,0.0400390625,1,-0.05815768292682927
bad,time_window_proxy,0,0.12337,102.91469599999999,3,0.048583984375,1,-0.055228391959799
bad,time_window_proxy,0,0.12337,102.91469599999999,4,0.005859375,0,-0.053745833333333326
bad,time_window_proxy,0,0.12337,102.91469599999999,5,0.0,0,
bad,time_window_proxy,1,102.91469599999999,205.706022,0,0.0,0,
bad,time_window_proxy,1,102.91469599999999,205.706022,1,0.014404296875,0,-0.06253610169491525
bad,time_window_proxy,1,102.91469599999999,205.706022,2,0.041015625,1,-0.05824863095238095
bad,time_window_proxy,1,102.91469599999999,205.706022,3,0.043212890625,1,-0.05488570621468927
bad,time_window_proxy,1,102.91469599999999,205.706022,4,0.0751953125,1,-0.05314055194805195
bad,time_window_proxy,1,102.91469599999999,205.706022,5,0.026123046875,1,-0.052046168224299055
bad,time_window_proxy,2,205.706022,308.497348,0,0.0,0,
bad,time_window_proxy,2,205.706022,308.497348,1,0.005615234375,0,-0.06672391304347827
bad,time_window_proxy,2,205.706022,308.497348,2,0.003662109375,0,-0.057622
bad,time_window_proxy,2,205.706022,308.497348,3,0.06787109375,1,-0.05487478417266187
bad,time_window_proxy,2,205.706022,308.497348,4,0.06298828125,1,-0.05310941860465116
bad,time_window_proxy,2,205.706022,308.497348,5,0.059814453125,1,-0.0515309387755102
bad,time_window_proxy,3,308.497348,411.288674,0,0.0,0,
bad,time_window_proxy,3,308.497348,411.288674,1,0.008056640625,0,-0.061379393939393935
bad,time_window_proxy,3,308.497348,411.288674,2,0.084716796875,1,-0.05807155619596543
bad,time_window_proxy,3,308.497348,411.288674,3,0.0224609375,1,-0.05569152173913043
bad,time_window_proxy,3,308.497348,411.288674,4,0.033935546875,1,-0.05316302158273381
bad,time_window_proxy,3,308.497348,411.288674,5,0.05078125,1,-0.05104504807692308
bad,time_window_proxy,4,411.288674,514.08,0,0.0,0,
bad,time_window_proxy,4,411.288674,514.08,1,0.001708984375,0,-0.06145142857142857
bad,time_window_proxy,4,411.288674,514.08,2,0.0234375,1,-0.0574725
bad,time_window_proxy,4,411.288674,514.08,3,0.081787109375,1,-0.055057940298507455
bad,time_window_proxy,4,411.288674,514.08,4,0.072265625,1,-0.05319834459459459
bad,time_window_proxy,4,411.288674,514.08,5,0.02099609375,1,-0.05184627906976745
