dataset,state,start_time,end_time,duration,start_index,end_index
selected_curve,1,0.12337,2.006,1.8826299999999998,0,14
selected_curve,0,2.006,3.6376,1.6316000000000002,15,27
selected_curve,1,3.6376,8.4071,4.7695,28,65
selected_curve,0,8.4071,8.6581,0.25099999999999945,66,67
selected_curve,1,8.6581,8.7836,0.12599999999999767,68,68
selected_curve,0,8.7836,16.189,7.4054,69,127
selected_curve,1,16.189,18.95,2.7609999999999992,128,149
selected_curve,0,18.95,19.828,0.8780000000000001,150,156
selected_curve,1,19.828,23.719,3.891000000000002,157,187
selected_curve,0,23.719,24.598,0.8789999999999978,188,194
selected_curve,1,24.598,28.865,4.2669999999999995,195,228
selected_curve,0,28.865,32.379,3.5139999999999993,229,256
selected_curve,1,32.379,33.007,0.6280000000000001,257,261
selected_curve,0,33.007,35.894,2.8870000000000005,262,284
selected_curve,1,35.894,37.023,1.1290000000000049,285,293
selected_curve,0,37.023,37.651,0.6280000000000001,294,298
selected_curve,1,37.651,45.558,7.9069999999999965,299,361
selected_curve,2,45.558,46.562,1.0039999999999978,362,369
selected_curve,0,46.562,49.825,3.2630000000000052,370,395
selected_curve,1,49.825,52.837,3.0120000000000005,396,419
selected_curve,2,52.837,54.971,2.1339999999999932,420,436
selected_curve,1,54.971,55.222,0.2510000000000048,437,438
selected_curve,2,55.222,56.728,1.5060000000000002,439,450
selected_curve,3,56.728,60.368,3.6400000000000006,451,479
selected_curve,1,60.368,61.247,0.8789999999999978,480,486
selected_curve,2,61.247,66.518,5.271000000000001,487,528
selected_curve,1,66.518,66.643,0.12599999999999767,529,529
selected_curve,2,66.643,67.145,0.5019999999999953,530,533
selected_curve,3,67.145,69.279,2.1340000000000003,534,550
selected_curve,2,69.279,69.656,0.37700000000000955,551,553
selected_curve,1,69.656,70.534,0.8780000000000001,554,560
selected_curve,2,70.534,73.17,2.6359999999999957,561,581
selected_curve,3,73.17,74.55,1.3799999999999955,582,592
selected_curve,2,74.55,76.182,1.632000000000005,593,605
selected_curve,3,76.182,77.939,1.7569999999999908,606,619
selected_curve,1,77.939,78.19,0.2510000000000048,620,621
selected_curve,2,78.19,79.947,1.757000000000005,622,635
selected_curve,3,79.947,84.34,4.393000000000001,636,670
selected_curve,1,84.34,84.466,0.12599999999999767,671,671
selected_curve,2,84.466,88.231,3.7650000000000006,672,701
selected_curve,3,88.231,93.502,5.271000000000001,702,743
selected_curve,4,93.502,96.515,3.0130000000000052,744,767
selected_curve,3,96.515,103.67,7.155000000000001,768,824
selected_curve,4,103.67,108.44,4.769999999999996,825,862
selected_curve,3,108.44,109.32,0.8799999999999955,863,869
selected_curve,4,109.32,117.85,8.530000000000001,870,937
selected_curve,5,117.85,121.49,3.6400000000000006,938,966
selected_curve,2,121.49,122.62,1.1300000000000097,967,975
selected_curve,3,122.62,127.14,4.519999999999996,976,1011
selected_curve,1,127.14,130.28,3.1400000000000006,1012,1036
selected_curve,2,130.28,143.2,12.919999999999987,1037,1139
selected_curve,1,143.2,143.33,0.13000000000002387,1140,1140
selected_curve,2,143.33,146.09,2.759999999999991,1141,1162
selected_curve,1,146.09,146.22,0.12999999999999545,1163,1163
selected_curve,2,146.22,147.85,1.6299999999999955,1164,1176
selected_curve,3,147.85,154.75,6.900000000000006,1177,1231
selected_curve,4,154.75,164.79,10.039999999999992,1232,1311
selected_curve,3,164.79,165.17,0.37999999999999545,1312,1314
selected_curve,1,165.17,166.17,1.0,1315,1322
selected_curve,2,166.17,166.67,0.5,1323,1326
selected_curve,3,166.67,167.3,0.6300000000000239,1327,1331
selected_curve,2,167.3,167.43,0.12999999999999545,1332,1332
selected_curve,3,167.43,167.8,0.37000000000000455,1333,1335
selected_curve,1,167.8,168.93,1.1299999999999955,1336,1344
selected_curve,3,168.93,170.69,1.759999999999991,1345,1358
selected_curve,4,170.69,175.08,4.390000000000015,1359,1393
selected_curve,5,175.08,180.23,5.149999999999977,1394,1434
selected_curve,4,180.23,186.25,6.02000000000001,1435,1482
selected_curve,3,186.25,187.01,0.7599999999999909,1483,1488
selected_curve,4,187.01,188.89,1.8799999999999955,1489,1503
selected_curve,5,188.89,191.65,2.7600000000000193,1504,1525
selected_curve,3,191.65,192.28,0.6299999999999955,1526,1530
selected_curve,4,192.28,194.03,1.75,1531,1544
selected_curve,5,194.03,195.92,1.8899999999999864,1545,1559
selected_curve,1,195.92,197.8,1.8800000000000239,1560,1574
selected_curve,2,197.8,199.81,2.009999999999991,1575,1590
selected_curve,3,199.81,204.45,4.639999999999986,1591,1627
selected_curve,4,204.45,213.49,9.04000000000002,1628,1699
selected_curve,3,213.49,214.37,0.8799999999999955,1700,1706
selected_curve,1,214.37,214.49,0.12599999999999767,1707,1707
selected_curve,3,214.49,223.91,9.419999999999987,1708,1782
selected_curve,4,223.91,231.06,7.150000000000006,1783,1839
selected_curve,5,231.06,245.49,14.430000000000007,1840,1954
selected_curve,3,245.49,247.0,1.509999999999991,1955,1966
selected_curve,4,247.0,252.52,5.52000000000001,1967,2010
selected_curve,3,252.52,254.15,1.6299999999999955,2011,2023
