dataset,run_idx,best_energy,final_energy,energy_gap_to_optimum,hit_optimum,acceptance_rate,early_acceptance_rate,late_acceptance_rate
good,0,-24.0,-24.0,34.0,False,0.05,0.203125,0.0
good,1,-12.0,-12.0,46.0,False,0.059375,0.15625,0.078125
good,2,-36.0,-36.0,22.0,False,0.01875,0.046875,0.0
good,3,-12.0,-12.0,46.0,False,0.040625,0.078125,0.0625
good,4,-12.0,-12.0,46.0,False,0.034375,0.078125,0.0625
good,5,-22.0,-22.0,36.0,False,0.065625,0.0625,0.09375
good,6,-8.0,-8.0,50.0,False,0.028125,0.03125,0.03125
good,7,-12.0,-12.0,46.0,False,0.06875,0.078125,0.109375
good,8,-32.0,-32.0,26.0,False,0.05,0.0625,0.0625
good,9,-24.0,-24.0,34.0,False,0.05625,0.046875,0.078125
good,10,-38.0,-38.0,20.0,False,0.053125,0.0625,0.078125
good,11,-8.0,-8.0,50.0,False,0.040625,0.078125,0.0
good,12,4.0,4.0,62.0,False,0.01875,0.03125,0.0
good,13,-24.0,-24.0,34.0,False,0.059375,0.0625,0.046875
good,14,-28.0,-28.0,30.0,False,0.075,0.078125,0.0625
good,15,-26.0,-26.0,32.0,False,0.034375,0.046875,0.03125
good,16,-6.0,-6.0,52.0,False,0.053125,0.0625,0.046875
good,17,-22.0,-22.0,36.0,False,0.01875,0.046875,0.0
good,18,0.0,0.0,58.0,False,0.06875,0.015625,0.015625
good,19,-24.0,-24.0,34.0,False,0.0625,0.140625,0.015625
good,20,-26.0,-26.0,32.0,False,0.03125,0.0625,0.03125
good,21,-8.0,-4.0,50.0,False,0.04375,0.03125,0.046875
good,22,-8.0,-8.0,50.0,False,0.053125,0.03125,0.03125
good,23,-30.0,-22.0,28.0,False,0.046875,0.03125,0.046875
good,24,-26.0,-26.0,32.0,False,0.05,0.0625,0.03125
good,25,-26.0,-26.0,32.0,False,0.059375,0.0625,0.03125
good,26,-26.0,-26.0,32.0,False,0.059375,0.078125,0.03125
